"","V3","V2.x","V2.y","V2.x.x","V5","V1","V2.y.y"
"382","07212-3801",2022,2023,2024,"07212","072125"," ìÏëäînés"
"383","07213-3800",2022,2023,2024,"07213","072133"," à…íBés"
"384","07214-3808",2022,2023,2024,"07214","072141"," ñ{ã{és"
"385","07301-3800",2022,2023,2024,"07301","073016"," åKê‹í¨"
"386","07303-3800",2022,2023,2024,"07303","073032"," çëå©í¨"
"387","07308-3800",2022,2023,2024,"07308","073083"," êÏñìí¨"
"388","07309-3800",2022,2023,2024,"07309",NA,NA
"389","07321-3808",2022,NA,NA,"07321",NA,NA
"390","07322-3808",2022,2023,2024,"07322","073229"," ëÂã ë∫"
"391","07342-3802",2022,2023,2024,"07342","073423"," ãæêŒí¨"
"392","07344-3802",2022,2023,2024,"07344","073440"," ìVâhë∫"
"393","07362-3836",2022,2023,2024,"07362","073628"," â∫ãΩí¨"
"394","07364-3836",2022,2023,2024,"07364","073644"," ûwé}äÚë∫"
"395","07367-3836",2022,2023,2024,"07367","073679"," ë¸å©í¨"
"396","07368-3836",2022,2023,2024,"07368","073687"," ìÏâÔí√í¨"
"397","07402-3804",2022,2023,2024,"07402","074021"," ñkâñå¥ë∫"
"398","07405-3804",2022,2023,2024,"07405","074055"," êºâÔí√í¨"
"399","07407-3804",2022,2023,2024,"07407","074071"," î÷íÚí¨"
"400","07408-3804",2022,2023,2024,"07408","074080"," íñïcë„í¨"
"401","07421-3804",2022,2023,2024,"07421","074217"," âÔí√ç‚â∫í¨"
"402","07422-3804",2022,2023,2024,"07422","074225"," ìíêÏë∫"
"403","07423-3804",2022,2023,2024,"07423","074233"," ñˆí√í¨"
"404","07441-3804",2022,NA,NA,"07441",NA,NA
"405","07444-3804",2022,2023,2024,"07444","074446"," éOìáí¨"
"406","07445-3804",2022,2023,2024,"07445","074454"," ã‡éRí¨"
"407","07446-3804",2022,2023,2024,"07446","074462"," è∫òaë∫"
"408","07447-3804",2022,2023,2024,"07447","074471"," âÔí√î¸ó¢í¨"
"409","07461-3803",2022,2023,2024,"07461","074616"," êºãΩë∫"
"410","07464-3803",2022,2023,2024,"07464","074641"," êÚçËë∫"
"411","07465-3803",2022,2023,2024,"07465","074659"," íÜìáë∫"
"412","07466-3803",2022,2023,2024,"07466","074667"," ñÓêÅí¨"
"413","07481-3803",2022,2023,2024,"07481","074811"," íIëqí¨"
"414","07482-3803",2022,2023,2024,"07482","074829"," ñÓç’í¨"
"415","07483-3803",2022,2023,2024,"07483","074837"," î∑í¨"
"416","07484-3803",2022,2023,2024,"07484","074845"," éLêÏë∫"
"417","07501-3803",2022,2023,2024,"07501","075019"," êŒêÏí¨"
"418","07502-3802",2022,2023,2024,"07502","075027"," ã êÏë∫"
"419","07503-3802",2022,2023,2024,"07503","075035"," ïΩìcë∫"
"420","07504-3803",2022,2023,2024,"07504","075043"," êÛêÏí¨"
"421","07505-3803",2022,2023,2024,"07505","075051"," å√ìaí¨"
"422","07521-3802",2022,2023,2024,"07521","075213"," éOètí¨"
"423","07522-3802",2022,2023,2024,"07522","075221"," è¨ñÏí¨"
"424","07541-3842",2022,2023,2024,"07541","075418"," çLñÏí¨"
"425","07542-3842",2022,2023,2024,"07542","075426"," ìËótí¨"
"426","07543-3842",2022,2023,2024,"07543","075434"," ïxâ™í¨"
"427","07544-3842",2022,2023,2024,"07544","075442"," êÏì‡ë∫"
"428","07545-3842",2022,2023,2024,"07545","075451"," ëÂåFí¨"
"429","07546-3842",2022,2023,2024,"07546","075469"," ëoótí¨"
"430","07547-3842",2022,2023,2024,"07547","075477"," òQç]í¨"
"431","07548-3842",2022,2023,2024,"07548","075485"," äãîˆë∫"
"432","07561-3801",2022,2023,2024,"07561","075612"," êVíní¨"
"433","07564-3801",2022,2023,2024,"07564","075647"," î—ä⁄ë∫"
"434","08201-0500",2022,2023,2024,"08201","082015"," êÖåÀés"
"435","08202-0501",2022,2023,2024,"08202","082023"," ì˙óßés"
"436","08203-0503",2022,2023,2024,"08203","082031"," ìyâYés"
"437","08204-0506",2022,2023,2024,"08204","082040"," å√âÕés"
"438","08205-0503",2022,2023,2024,"08205","082058"," êŒâ™és"
"439","08207-0532",2022,2023,2024,"08207","082074"," åãèÈés"
"440","08208-0504",2022,2023,2024,"08208","082082"," ó¥ÉPçËés"
"441","08210-0506",2022,2023,2024,"08210","082104"," â∫ç»és"
"442","08211-0506",2022,2023,2024,"08211","082112"," èÌëçés"
"443","08212-0502",2022,2023,2024,"08212","082121"," èÌó§ëæìcés"
"444","08214-0501",2022,2023,2024,"08214","082147"," çÇîãés"
"445","08215-0501",2022,2023,2024,"08215","082155"," ñkàÔèÈés"
"446","08216-0500",2022,2023,2024,"08216","082163"," ä}ä‘és"
"447","08217-0527",2022,2023,2024,"08217","082171"," éÊéËés"
"448","08219-0527",2022,2023,2024,"08219","082198"," ãçãvés"
"449","08220-0524",2022,2023,2024,"08220","082201"," Ç¬Ç≠ÇŒés"
"450","08221-0500",2022,2023,2024,"08221","082210"," Ç–ÇΩÇøÇ»Ç©és"
"451","08222-0530",2022,2023,2024,"08222","082228"," é≠ìàés"
"452","08223-0530",2022,2023,2024,"08223","082236"," í™óàés"
"453","08224-0527",2022,2023,2024,"08224","082244"," éÁíJés"
"454","08225-0502",2022,2023,2024,"08225","082252"," èÌó§ëÂã{és"
"455","08226-0500",2022,2023,2024,"08226","082261"," ìﬂâœés"
"456","08227-0532",2022,2023,2024,"08227","082279"," í}êºés"
"457","08228-0506",2022,2023,2024,"08228","082287"," ç‚ìåés"
"458","08229-0504",2022,2023,2024,"08229","082295"," àÓï~és"
"459","08230-0503",2022,2023,2024,"08230","082309"," Ç©Ç∑Ç›Ç™Ç§ÇÁés"
"460","08231-0532",2022,2023,2024,"08231","082317"," ç˜êÏés"
"461","08232-0530",2022,2023,2024,"08232","082325"," ê_ê≤és"
"462","08233-0530",2022,2023,2024,"08233","082333"," çsï˚és"
"463","08234-0530",2022,2023,2024,"08234","082341"," ñgìcés"
"464","08235-0527",2022,2023,2024,"08235","082350"," Ç¬Ç≠ÇŒÇ›ÇÁÇ¢és"
"465","08236-0503",2022,2023,2024,"08236","082368"," è¨î¸ã és"
"466","08302-0500",2022,2023,2024,"08302","083020"," àÔèÈí¨"
"467","08309-0500",2022,2023,2024,"08309","083097"," ëÂêÙí¨"
"468","08310-0500",2022,2023,2024,"08310","083101"," èÈó¢í¨"
"469","08341-0500",2022,2023,2024,"08341","083411"," ìåäCë∫"
"470","08364-0502",2022,2023,2024,"08364","083640"," ëÂéqí¨"
"471","08442-0503",2022,2023,2024,"08442","084425"," î¸âYë∫"
"472","08443-0503",2022,2023,2024,"08443","084433"," à¢å©í¨"
"473","08447-0504",2022,2023,2024,"08447","084476"," âÕì‡í¨"
"474","08521-0506",2022,2023,2024,"08521","085219"," î™êÁë„í¨"
"475","08542-0506",2022,2023,2024,"08542","085421"," å‹â‡í¨"
"476","08546-0506",2022,2023,2024,"08546","085464"," ã´í¨"
"477","08564-0504",2022,2023,2024,"08564","085642"," óòç™í¨"
"478","09201-0600",2022,2023,2024,"09201","092011"," âFìsã{és"
"479","09202-0605",2022,2023,2024,"09202","092029"," ë´óòés"
"480","09203-0604",2022,2023,2024,"09203","092037"," ì»ñÿés"
"481","09204-0605",2022,2023,2024,"09204","092045"," ç≤ñÏés"
"482","09205-0600",2022,2023,2024,"09205","092053"," é≠è¿és"
"483","09206-0608",2022,2023,2024,"09206","092061"," ì˙åıés"
"484","09207-0608",2022,NA,NA,"09207",NA,NA
"485","09208-0624",2022,2023,2024,"09208","092088"," è¨éRés"
"486","09209-0601",2022,2023,2024,"09209","092096"," ê^â™és"
"487","09210-0602",2022,2023,2024,"09210","092100"," ëÂìcå¥és"
"488","09211-0602",2022,2023,2024,"09211","092118"," ñÓî¬és"
"489","09213-0602",2022,2023,2024,"09213","092134"," ìﬂê{âñå¥és"
"490","09214-0600",2022,2023,2024,"09214","092142"," Ç≥Ç≠ÇÁés"
"491","09215-0600",2022,2023,2024,"09215","092151"," ìﬂê{âGéRés"
"492","09216-0624",2022,2023,2024,"09216","092169"," â∫ñÏés"
"493","09301-0600",2022,2023,2024,"09301","093017"," è„éOêÏí¨"
"494","09321-0604",2022,2023,2024,"09321",NA,NA
"495","09341-0601",2022,NA,NA,"09341",NA,NA
"496","09342-0601",2022,2023,2024,"09342","093424"," âvéqí¨"
"497","09343-0601",2022,2023,2024,"09343","093432"," ñŒñÿí¨"
"498","09344-0601",2022,2023,2024,"09344","093441"," ésäLí¨"
"499","09345-0601",2022,2023,2024,"09345","093459"," ñFâÍí¨"
"500","09361-0604",2022,2023,2024,"09361","093611"," êpê∂í¨"
"501","09364-0624",2022,2023,2024,"09364","093645"," ñÏñÿí¨"
"502","09367-0604",2022,2023,2024,"09367",NA,NA
"503","09384-0608",2022,2023,2024,"09384","093840"," âñíJí¨"
"504","09386-0600",2022,2023,2024,"09386","093866"," çÇç™ëÚí¨"
"505","09407-0602",2022,2023,2024,"09407","094072"," ìﬂê{í¨"
"506","09411-0602",2022,2023,2024,"09411","094111"," ìﬂâœêÏí¨"
"507","09422-0605",2022,NA,NA,"09422",NA,NA
"508","10201-0700",2022,2023,2024,"10201","102016"," ëOã¥és"
"509","10202-0704",2022,2023,2024,"10202","102024"," çÇçËés"
"510","10203-0703",2022,2023,2024,"10203","102032"," ãÀê∂és"
"511","10204-0708",2022,2023,2024,"10204","102041"," à…ê®çËés"
"512","10205-0702",2022,2023,2024,"10205","102059"," ëæìcés"
"513","10206-0701",2022,2023,2024,"10206","102067"," è¿ìcés"
"514","10207-0702",2022,2023,2024,"10207","102075"," äŸó—és"
"515","10208-0707",2022,2023,2024,"10208","102083"," èaêÏés"
"516","10209-0704",2022,2023,2024,"10209","102091"," ì°â™és"
"517","10210-0706",2022,2023,2024,"10210","102105"," ïxâ™és"
"518","10211-0704",2022,2023,2024,"10211","102113"," à¿íÜés"
"519","10212-0703",2022,2023,2024,"10212","102121"," Ç›Ç«ÇËés"
"520","10303-0700",2022,2023,2024,"10303",NA,NA
"521","10342-0707",2022,NA,NA,"10342",NA,NA
"522","10344-0707",2022,2023,2024,"10344","103446"," êYìåë∫"
"523","10345-0707",2022,2023,2024,"10345","103454"," ãgâ™í¨"
"524","10363-0704",2022,NA,NA,"10363",NA,NA
"525","10366-0706",2022,2023,2024,"10366","103667"," è„ñÏë∫"
"526","10367-0704",2022,2023,2024,"10367","103675"," ê_ó¨í¨"
"527","10382-0706",2022,2023,2024,"10382","103829"," â∫êmìcí¨"
"528","10383-0706",2022,2023,2024,"10383","103837"," ìÏñqë∫"
"529","10384-0706",2022,2023,2024,"10384","103845"," ä√äyí¨"
"530","10421-0705",2022,2023,2024,"10421","104213"," íÜîVèí¨"
"531","10424-0705",2022,2023,2024,"10424","104248"," í∑ñÏå¥í¨"
"532","10425-0705",2022,2023,2024,"10425","104256"," í⁄óˆë∫"
"533","10426-0705",2022,2023,2024,"10426","104264"," ëêí√í¨"
"534","10428-0705",2022,2023,2024,"10428","104281"," çÇéRë∫"
"535","10429-0705",2022,2023,2024,"10429","104299"," ìåå·ç»í¨"
"536","10443-0701",2022,2023,2024,"10443","104434"," ï–ïië∫"
"537","10444-0701",2022,2023,2024,"10444","104442"," êÏèÍë∫"
"538","10448-0701",2022,2023,2024,"10448","104485"," è∫òaë∫"
"539","10449-0701",2022,2023,2024,"10449","104493"," Ç›Ç»Ç©Ç›í¨"
"540","10464-0708",2022,2023,2024,"10464","104647"," ã ë∫í¨"
"541","10521-0702",2022,2023,2024,"10521","105210"," î¬ëqí¨"
"542","10522-0702",2022,2023,2024,"10522","105228"," ñæòaí¨"
"543","10523-0702",2022,2023,2024,"10523","105236"," êÁë„ìcí¨"
"544","10524-0702",2022,2023,2024,"10524","105244"," ëÂêÚí¨"
"545","10525-0702",2022,2023,2024,"10525","105252"," óWäyí¨"
"546","11101-0300",2022,2023,2024,"11101","111015"," Ç≥Ç¢ÇΩÇ‹ésêºãÊ"
"547","11102-0300",2022,2023,2024,"11102","111023"," Ç≥Ç¢ÇΩÇ‹ésñkãÊ"
"548","11103-0300",2022,2023,2024,"11103","111031"," Ç≥Ç¢ÇΩÇ‹ésëÂã{ãÊ"
"549","11104-0300",2022,2023,2024,"11104","111040"," Ç≥Ç¢ÇΩÇ‹éså©è¿ãÊ"
"550","11105-0300",2022,2023,2024,"11105","111058"," Ç≥Ç¢ÇΩÇ‹ésíÜâõãÊ"
"551","11106-0300",2022,2023,2024,"11106","111066"," Ç≥Ç¢ÇΩÇ‹ésç˜ãÊ"
"552","11107-0300",2022,2023,2024,"11107","111074"," Ç≥Ç¢ÇΩÇ‹ésâYòaãÊ"
"553","11108-0300",2022,2023,2024,"11108","111082"," Ç≥Ç¢ÇΩÇ‹ésìÏãÊ"
"554","11109-0300",2022,2023,2024,"11109","111091"," Ç≥Ç¢ÇΩÇ‹ésóŒãÊ"
"555","11110-0300",2022,2023,2024,"11110","111104"," Ç≥Ç¢ÇΩÇ‹ésä‚íŒãÊ"
"556","11201-0302",2022,2023,2024,"11201","112011"," êÏâzés"
"557","11202-0303",2022,2023,2024,"11202","112020"," åFíJés"
"558","11203-0306",2022,2023,2024,"11203","112038"," êÏå˚és"
"559","11204-0300",2022,NA,NA,"11204",NA,NA
"560","11206-0303",2022,2023,2024,"11206","112062"," çsìcés"
"561","11207-0305",2022,2023,2024,"11207","112071"," íÅïÉés"
"562","11208-0318",2022,2023,2024,"11208","112089"," èäëÚés"
"563","11209-0322",2022,2023,2024,"11209","112097"," î—î\és"
"564","11210-0312",2022,2023,2024,"11210","112101"," â¡ê{és"
"565","11211-0328",2022,2023,2024,"11211","112119"," ñ{èØés"
"566","11212-0304",2022,2023,2024,"11212","112127"," ìåèºéRés"
"567","11213-0300",2022,NA,NA,"11213",NA,NA
"568","11214-0315",2022,2023,2024,"11214","112143"," ètì˙ïîés"
"569","11215-0318",2022,2023,2024,"11215","112151"," ã∑éRés"
"570","11216-0312",2022,2023,2024,"11216","112160"," âHê∂és"
"571","11217-0309",2022,2023,2024,"11217","112178"," çÉëÉés"
"572","11218-0303",2022,2023,2024,"11218","112186"," ê[íJés"
"573","11219-0310",2022,2023,2024,"11219","112194"," è„îˆés"
"574","11221-0316",2022,2023,2024,"11221","112216"," ëêâ¡és"
"575","11222-0301",2022,2023,2024,"11222","112224"," âzíJés"
"576","11223-0300",2022,2023,2024,"11223","112232"," ònés"
"577","11224-0300",2022,2023,2024,"11224","112241"," åÀìcés"
"578","11225-0318",2022,2023,2024,"11225","112259"," ì¸ä‘és"
"579","11226-0306",2022,2023,2024,"11226",NA,NA
"580","11227-0308",2022,2023,2024,"11227","112275"," í©â‡és"
"581","11228-0308",2022,2023,2024,"11228","112283"," éuñÿés"
"582","11229-0308",2022,2023,2024,"11229","112291"," òaåıés"
"583","11230-0308",2022,2023,2024,"11230","112305"," êVç¿és"
"584","11231-0310",2022,2023,2024,"11231","112313"," â±êÏés"
"585","11232-0312",2022,2023,2024,"11232","112321"," ãväÏés"
"586","11233-0309",2022,2023,2024,"11233","112330"," ñkñ{és"
"587","11234-0316",2022,2023,2024,"11234","112348"," î™í™és"
"588","11235-0308",2022,2023,2024,"11235","112356"," ïxémå©és"
"589","11237-0316",2022,2023,2024,"11237","112372"," éOãΩés"
"590","11238-0312",2022,2023,2024,"11238","112381"," ò@ìcés"
"591","11239-0320",2022,2023,2024,"11239","112399"," ç‚åÀés"
"592","11240-0312",2022,2023,2024,"11240","112402"," çKéËés"
"593","11241-0320",2022,2023,2024,"11241","112411"," íﬂÉñìáés"
"594","11242-0322",2022,2023,2024,"11242","112429"," ì˙çÇés"
"595","11243-0301",2022,2023,2024,"11243","112437"," ãgêÏés"
"596","11245-0302",2022,2023,2024,"11245","112453"," Ç”Ç∂Ç›ñÏés"
"597","11246-0312",2022,2023,2024,"11246","112461"," îíâ™és"
"598","11301-0310",2022,2023,2024,"11301","113018"," à…ìﬁí¨"
"599","11324-0302",2022,2023,2024,"11324","113247"," éOñFí¨"
"600","11326-0320",2022,2023,2024,"11326","113263"," ñ—òCéRí¨"
"601","11327-0320",2022,2023,2024,"11327","113271"," âzê∂í¨"
"602","11341-0304",2022,2023,2024,"11341","113417"," ääêÏí¨"
"603","11342-0304",2022,2023,2024,"11342","113425"," óíéRí¨"
"604","11343-0304",2022,2023,2024,"11343","113433"," è¨êÏí¨"
"605","11346-0302",2022,2023,2024,"11346","113468"," êÏìáí¨"
"606","11347-0304",2022,2023,2024,"11347","113476"," ãgå©í¨"
"607","11348-0320",2022,2023,2024,"11348","113484"," îµéRí¨"
"608","11349-0304",2022,2023,2024,"11349","113492"," Ç∆Ç´Ç™ÇÌí¨"
"609","11361-0305",2022,2023,2024,"11361","113611"," â°ê£í¨"
"610","11362-0305",2022,2023,2024,"11362","113620"," äFñÏí¨"
"611","11363-0305",2022,2023,2024,"11363","113638"," í∑ì“í¨"
"612","11365-0305",2022,2023,2024,"11365","113654"," è¨é≠ñÏí¨"
"613","11369-0304",2022,2023,2024,"11369","113697"," ìåíÅïÉë∫"
"614","11381-0328",2022,2023,2024,"11381","113816"," î¸ó¢í¨"
"615","11383-0328",2022,2023,2024,"11383","113832"," ê_êÏí¨"
"616","11385-0328",2022,2023,2024,"11385","113859"," è„ó¢í¨"
"617","11401-0303",2022,NA,NA,"11401",NA,NA
"618","11408-0303",2022,2023,2024,"11408","114081"," äÒãèí¨"
"619","11421-0312",2022,2023,2024,"11421",NA,NA
"620","11424-0312",2022,2023,2024,"11424",NA,NA
"621","11425-0312",2022,2023,2024,"11425",NA,NA
"622","11442-0315",2022,2023,2024,"11442","114421"," ã{ë„í¨"
"623","11445-0312",2022,2023,2024,"11445",NA,NA
"624","11446-0312",2022,2023,2024,"11446",NA,NA
"625","11461-0312",2022,2023,2024,"11461",NA,NA
"626","11462-0312",2022,2023,2024,"11462",NA,NA
"627","11464-0315",2022,2023,2024,"11464","114642"," êôåÀí¨"
"628","11465-0301",2022,2023,2024,"11465","114651"," èºïöí¨"
"629","12101-0400",2022,2023,2024,"12101","121011"," êÁótésíÜâõãÊ"
"630","12102-0400",2022,2023,2024,"12102","121029"," êÁótésâ‘å©êÏãÊ"
"631","12103-0400",2022,2023,2024,"12103","121037"," êÁótésàÓñ—ãÊ"
"632","12104-0400",2022,2023,2024,"12104","121045"," êÁótésé·ótãÊ"
"633","12105-0400",2022,2023,2024,"12105","121053"," êÁótésóŒãÊ"
"634","12106-0400",2022,2023,2024,"12106","121061"," êÁótésî¸ïlãÊ"
"635","12202-0405",2022,2023,2024,"12202","122025"," í∂éqés"
"636","12203-0443",2022,2023,2024,"12203","122033"," ésêÏés"
"637","12204-0407",2022,2023,2024,"12204","122041"," ëDã¥és"
"638","12205-0404",2022,2023,2024,"12205","122050"," äŸéRés"
"639","12206-0403",2022,2023,2024,"12206","122068"," ñÿçXí√és"
"640","12207-0402",2022,2023,2024,"12207","122076"," èºåÀés"
"641","12208-0424",2022,2023,2024,"12208","122084"," ñÏìcés"
"642","12210-0414",2022,2023,2024,"12210","122106"," ñŒå¥és"
"643","12211-0406",2022,2023,2024,"12211","122114"," ê¨ìcés"
"644","12211-0423",2022,2023,2024,"12211","122114"," ê¨ìcés"
"645","12212-0401",2022,2023,2024,"12212","122122"," ç≤ëqés"
"646","12213-0410",2022,2023,2024,"12213","122131"," ìåã‡és"
"647","12215-0405",2022,2023,2024,"12215","122157"," àÆés"
"648","12216-0400",2022,2023,2024,"12216","122165"," èKéuñÏés"
"649","12217-0424",2022,2023,2024,"12217","122173"," îêés"
"650","12218-0416",2022,2023,2024,"12218","122181"," èüâYés"
"651","12219-0408",2022,2023,2024,"12219","122190"," éså¥és"
"652","12220-0402",2022,2023,2024,"12220","122203"," ó¨éRés"
"653","12221-0407",2022,2023,2024,"12221","122211"," î™êÁë„és"
"654","12222-0424",2022,2023,2024,"12222","122220"," â‰ë∑éqés"
"655","12223-0404",2022,2023,2024,"12223","122238"," äõêÏés"
"656","12224-0443",2022,2023,2024,"12224","122246"," äôÉPíJés"
"657","12225-0403",2022,2023,2024,"12225","122254"," åNí√és"
"658","12226-0403",2022,2023,2024,"12226","122262"," ïxí√és"
"659","12227-0443",2022,2023,2024,"12227","122271"," âYà¿és"
"660","12228-0401",2022,2023,2024,"12228","122289"," éläXìπés"
"661","12229-0403",2022,2023,2024,"12229","122297"," ë≥ÉPâYés"
"662","12230-0401",2022,2023,2024,"12230","122301"," î™äXés"
"663","12231-0423",2022,2023,2024,"12231","122319"," àÛêºés"
"664","12232-0423",2022,2023,2024,"12232","122327"," îíà‰és"
"665","12233-0423",2022,2023,2024,"12233","122335"," ïxó¢és"
"666","12234-0404",2022,2023,2024,"12234","122343"," ìÏñ[ëçés"
"667","12235-0405",2022,2023,2024,"12235","122351"," ëxç∫és"
"668","12236-0406",2022,2023,2024,"12236","122360"," çÅéÊés"
"669","12237-0410",2022,2023,2024,"12237","122378"," éRïêés"
"670","12238-0416",2022,2023,2024,"12238","122386"," Ç¢Ç∑Ç›és"
"671","12239-0410",2022,2023,2024,"12239","122394"," ëÂñ‘îíó¢és"
"672","12322-0401",2022,2023,2024,"12322","123226"," éÅXà‰í¨"
"673","12325-0423",2022,2023,2024,"12325",NA,NA
"674","12328-0423",2022,2023,2024,"12328",NA,NA
"675","12329-0423",2022,2023,2024,"12329","123293"," âhí¨"
"676","12342-0406",2022,2023,2024,"12342","123421"," ê_çËí¨"
"677","12347-0405",2022,2023,2024,"12347","123471"," ëΩå√í¨"
"678","12349-0406",2022,2023,2024,"12349","123498"," ìåèØí¨"
"679","12402-0410",2022,2023,2024,"12402",NA,NA
"680","12403-0410",2022,2023,2024,"12403","124036"," ã„è\ã„ó¢í¨"
"681","12409-0405",2022,2023,2024,"12409","124095"," é≈éRí¨"
"682","12410-0405",2022,2023,2024,"12410","124109"," â°é≈åıí¨"
"683","12421-0414",2022,2023,2024,"12421","124214"," àÍã{í¨"
"684","12422-0414",2022,2023,2024,"12422","124222"," ñrëÚí¨"
"685","12423-0414",2022,2023,2024,"12423","124231"," í∑ê∂ë∫"
"686","12424-0414",2022,2023,2024,"12424","124249"," îíéqí¨"
"687","12426-0414",2022,2023,2024,"12426","124265"," í∑ïøí¨"
"688","12427-0414",2022,2023,2024,"12427","124273"," í∑ìÏí¨"
"689","12441-0416",2022,2023,2024,"12441","124419"," ëÂëΩäÏí¨"
"690","12443-0416",2022,2023,2024,"12443","124435"," å‰èhí¨"
"691","12463-0404",2022,2023,2024,"12463","124630"," ãòìÏí¨"
"692","13101-0100",2022,2023,2024,"13101","131016"," êÁë„ìcãÊ"
"693","13102-0100",2022,2023,2024,"13102","131024"," íÜâõãÊ"
"694","13103-0104",2022,2023,2024,"13103","131032"," ç`ãÊ"
"695","13104-0111",2022,2023,2024,"13104","131041"," êVèhãÊ"
"696","13105-0100",2022,2023,2024,"13105","131059"," ï∂ãûãÊ"
"697","13106-0105",2022,2023,2024,"13106","131067"," ë‰ìåãÊ"
"698","13107-0106",2022,2023,2024,"13107","131075"," ñnìcãÊ"
"699","13108-0106",2022,2023,2024,"13108","131083"," ç]ìåãÊ"
"700","13109-0107",2022,2023,2024,"13109","131091"," ïiêÏãÊ"
"701","13110-0110",2022,2023,2024,"13110","131105"," ñ⁄çïãÊ"
"702","13111-0108",2022,2023,2024,"13111","131113"," ëÂìcãÊ"
"703","13112-0109",2022,2023,2024,"13112","131121"," ê¢ìcíJãÊ"
"704","13113-0110",2022,2023,2024,"13113","131130"," èaíJãÊ"
"705","13114-0112",2022,2023,2024,"13114","131148"," íÜñÏãÊ"
"706","13115-0113",2022,2023,2024,"13115","131156"," êôï¿ãÊ"
"707","13116-0133",2022,2023,2024,"13116","131164"," ñLìáãÊ"
"708","13117-0115",2022,2023,2024,"13117","131172"," ñkãÊ"
"709","13118-0115",2022,2023,2024,"13118","131181"," çrêÏãÊ"
"710","13119-0114",2022,2023,2024,"13119","131199"," î¬ã¥ãÊ"
"711","13120-0116",2022,2023,2024,"13120","131202"," ó˚înãÊ"
"712","13121-0118",2022,2023,2024,"13121","131211"," ë´óßãÊ"
"713","13122-0118",2022,2023,2024,"13122","131229"," äãè¸ãÊ"
"714","13123-0117",2022,2023,2024,"13123","131237"," ç]åÀêÏãÊ"
"715","13201-0101",2022,2023,2024,"13201","132012"," î™â§éqés"
"716","13202-0128",2022,2023,2024,"13202","132021"," óßêÏés"
"717","13203-0124",2022,2023,2024,"13203","132039"," ïêë†ñÏés"
"718","13204-0124",2022,2023,2024,"13204","132047"," éOëÈés"
"719","13205-0131",2022,2023,2024,"13205","132055"," ê¬î~és"
"720","13206-0124",2022,2023,2024,"13206","132063"," ï{íÜés"
"721","13207-0128",2022,2023,2024,"13207","132071"," è∫ìáés"
"722","13208-0124",2022,2023,2024,"13208","132080"," í≤ïzés"
"723","13209-0123",2022,2023,2024,"13209","132098"," í¨ìcés"
"724","13210-0124",2022,2023,2024,"13210","132101"," è¨ã‡à‰és"
"725","13211-0127",2022,2023,2024,"13211","132110"," è¨ïΩés"
"726","13212-0128",2022,2023,2024,"13212","132128"," ì˙ñÏés"
"727","13213-0127",2022,2023,2024,"13213","132136"," ìåë∫éRés"
"728","13214-0128",2022,2023,2024,"13214","132144"," çëï™éõés"
"729","13215-0128",2022,2023,2024,"13215","132152"," çëóßés"
"730","13218-0131",2022,2023,2024,"13218","132187"," ïüê∂és"
"731","13219-0124",2022,2023,2024,"13219","132195"," çùç]és"
"732","13220-0128",2022,2023,2024,"13220","132209"," ìåëÂòaés"
"733","13221-0127",2022,2023,2024,"13221","132217"," ê¥ê£és"
"734","13222-0127",2022,2023,2024,"13222","132225"," ìåãvóØïƒés"
"735","13223-0128",2022,2023,2024,"13223","132233"," ïêë†ë∫éRés"
"736","13224-0124",2022,2023,2024,"13224","132241"," ëΩñÄés"
"737","13225-0124",2022,2023,2024,"13225","132250"," àÓèÈés"
"738","13227-0131",2022,2023,2024,"13227","132276"," âHë∫és"
"739","13228-0131",2022,2023,2024,"13228","132284"," Ç†Ç´ÇÈñÏés"
"740","13229-0127",2022,2023,2024,"13229","132292"," êºìåãûés"
"741","13303-0131",2022,2023,2024,"13303","133035"," êêï‰í¨"
"742","13305-0131",2022,2023,2024,"13305","133051"," ì˙ÇÃèoí¨"
"743","13307-0131",2022,2023,2024,"13307","133078"," ûwå¥ë∫"
"744","13308-0131",2022,2023,2024,"13308","133086"," âúëΩñÄí¨"
"745","13361-0100",2022,2023,2024,"13361","133612"," ëÂìáí¨"
"746","13362-0100",2022,2023,2024,"13362","133621"," óòìáë∫"
"747","13363-0100",2022,2023,2024,"13363","133639"," êVìáë∫"
"748","13364-0100",2022,2023,2024,"13364","133647"," ê_í√ìáë∫"
"749","13381-0100",2022,2023,2024,"13381","133817"," éOëÓë∫"
"750","13382-0100",2022,2023,2024,"13382","133825"," å‰ë†ìáë∫"
"751","13401-0100",2022,2023,2024,"13401","134015"," î™è‰í¨"
"752","13402-0100",2022,2023,2024,"13402","134023"," ê¬Éñìáë∫"
"753","13421-0100",2022,2023,2024,"13421","134210"," è¨ä}å¥ë∫"
"754","14101-0205",2022,2023,2024,"14101","141011"," â°ïlésíﬂå©ãÊ"
"755","14102-0205",2022,2023,2024,"14102","141020"," â°ïlésê_ìﬁêÏãÊ"
"756","14103-0200",2022,2023,2024,"14103","141038"," â°ïlésêºãÊ"
"757","14104-0200",2022,2023,2024,"14104","141046"," â°ïlésíÜãÊ"
"758","14105-0200",2022,2023,2024,"14105","141054"," â°ïlésìÏãÊ"
"759","14106-0205",2022,2023,2024,"14106","141062"," â°ïlésï€ìyÉPíJãÊ"
"760","14107-0206",2022,2023,2024,"14107","141071"," â°ïlésàÈéqãÊ"
